roi,sub-01,sub-02,sub-04,sub-09,sub-11,sub-12,mean,sd,cov
PIns posterior insula,1.862845327,1.637179515,1.536827199,2.027410633,1.845265741,1.965902027,1.81257174,0.189768144,10.47%
PO parietal operculum,2.205337987,1.945594093,2.14721128,1.93734994,1.776129343,2.424613719,2.07270606,0.2321282993,11.20%
PoG postcentral gyrus,1.986889884,1.842012953,1.933503483,2.36925588,2.091098184,2.163103357,2.064310623,0.1876112578,9.09%
POrG posterior orbital gyrus,2.15209701,2.127263931,1.905759182,2.213701439,1.994618661,1.712044828,2.017580842,0.1870678323,9.27%
PP planum polare,1.83455122,2.042123119,2.358690936,1.859126336,1.687099153,2.071482317,1.97551218,0.2354021983,11.92%
PrG precentral gyrus,2.380839401,2.136231948,2.178553733,2.638050992,2.142417467,2.14487129,2.270160805,0.2029470663,8.94%
PT planum temporale,1.987252416,2.232474906,2.030688951,2.363201067,2.183864658,2.455468204,2.208825034,0.1825782237,8.27%
SCA subcallosal area,2.033503248,1.997275628,1.671268593,2.166718073,1.77980081,1.742626854,1.898532201,0.1949068893,10.27%
SFG superior frontal gyrus,2.326695727,2.062800785,1.940054554,2.453176357,2.091639218,2.138766828,2.168855578,0.1877322799,8.66%
SMC supplementary motor cortex,2.341162705,2.087317366,1.952480715,2.259093307,1.863403427,2.378221151,2.146946445,0.2123930573,9.89%
SMG supramarginal gyrus,2.185427373,1.856379055,2.011614465,2.412120253,2.123633079,1.969705434,2.09314661,0.1944908424,9.29%
SOG superior occipital gyrus,2.258297643,1.885605985,1.7634153,2.542670796,2.097514524,2.536950723,2.180742495,0.3262163823,14.96%
SPL superior parietal lobule,2.103245996,1.757294603,1.929430665,2.351334256,1.74948681,1.946942126,1.972955743,0.2276686545,11.54%
STG superior temporal gyrus,2.145088247,1.823121609,1.909976278,1.95098063,2.137457422,1.935879393,1.983750597,0.1298194669,6.54%
TMP temporal pole,1.668817713,1.582605633,1.719912958,1.942487551,1.794998816,1.691685644,1.733418052,0.1235668377,7.13%
TrIFG triangular part of the inferior frontal gyrus,2.126487059,1.726697201,1.937997684,2.253125102,2.073247658,1.873653108,1.998534635,0.1896975875,9.49%
TTG transverse temporal gyrus,1.99600518,1.654346515,2.134278161,2.009032018,1.726189483,2.355165617,1.979169496,0.2592743132,13.10%
